name,photo,qualification,work_experience,current_position,current_employer,field_of_expertise,skills,average_rating,id,description,previous_employer_1,previous_employer_2,address_1,address_2
Stephanie Brown,https://placekitten.com/162/276,BSc in Information Systems,8,Systems Analyst,Harper-Brown,Systems Analysis,"Database Management, Business Analysis, System Analysis, System Integration, Process Improvement",1.2,1,Experienced in analyzing and improving system processes to enhance business operations.,Harris-Lawson,Allen-Kent,"96418 Reeves Village Suite 978
South Donaldview, TX 18186","USNV Miller
FPO AE 99758"
Matthew Foley,https://picsum.photos/511/13,PhD in Artificial Intelligence,35,Principal AI Researcher,"Smith, Bush and Roberts",Deep Learning,"TensorFlow, Machine Learning, PyTorch, Algorithm Development, Computer Vision",2.0,2,No description available,Campbell-Shaw,Hodge Group,"61161 Amber Square Apt. 053
South Codymouth, NV 10751","1168 James Coves
Kempfort, FL 66785"
Arthur Thompson,https://picsum.photos/140/977,MSc in Cybersecurity,10,Principal Cybersecurity Specialist,Parker and Sons,Cybersecurity,"Incident Response, Security Information and Event Management (SIEM), Ethical Hacking, Penetration Testing, Network Security",2.2,3,No description available,"Clark, Woodward and Camacho",Stevens PLC,"363 Joseph Station
Saratown, NE 31303","035 Tom Village
East Veronicaview, MT 03422"
Jordan Newton,https://dummyimage.com/200x1023,BSc in Information Systems,28,Principal Systems Analyst,"Ramirez, Hampton and Booker",System Integration,"Process Improvement, UML, System Analysis, System Integration, Requirements Gathering",2.2,4,No description available,Moore-Hull,Cross-Williams,"7982 Andrew Alley Apt. 326
Townsendbury, GA 67042","72724 Mark Falls
Robertfort, VI 69904"
Scott Miller,https://placekitten.com/148/796,MSc in Network Engineering,24,Principal Network Engineer,Pittman-Flynn,Network Security,"Firewall Configuration, Network Security, Cisco, TCP/IP, LAN/WAN",1.7,5,No description available,Bird LLC,Powell-Tran,"52659 Natalie Cliffs Apt. 596
North William, CO 64038","Unit 0258 Box 3115
DPO AP 10714"
Kimberly Hernandez,https://picsum.photos/413/602,MSc in Cybersecurity,38,Senior Cybersecurity Analyst,Atkins Ltd,Threat Intelligence,"Vulnerability Assessment, Cryptography, Firewall Management, Penetration Testing, Incident Response",2.3,6,No description available,"Peterson, Murillo and Esparza",Johnson Ltd,"986 Neil Brooks Apt. 970
East Makayla, WV 18531","572 Bell Expressway Apt. 348
South Leahmouth, SC 59024"
Russell Wood,https://placekitten.com/295/732,MSc in Computer Science,12,Principal Software Engineer,"Marquez, Gross and Krause",System Design,"Python, System Architecture, Agile Methodologies, C++, Java",2.0,7,No description available,Pierce Ltd,Rivas Group,"9657 Sanchez Haven
Bryantfurt, VI 24017","15250 Maria Way
South Christopher, MN 03667"
Robin Obrien,https://placekitten.com/875/8,MSc in Information Technology,34,Senior DevOps Engineer,Collins PLC,DevOps,"Docker, Kubernetes, Terraform, Linux, Azure",4.7,8,No description available,Martin Group,Rodriguez and Sons,"287 Burke Road Suite 910
Courtneyfurt, SD 39135","426 Clark Land Suite 689
Brianafurt, MP 54560"
Joe Brown,https://picsum.photos/900/281,BSc in Information Technology,37,Senior DevOps Engineer,Coleman Group,DevOps,"AWS, Kubernetes, Azure, Shell Scripting, Docker",3.3,9,No description available,"Jones, Morgan and Stein",Garcia and Sons,"5971 Lopez Stream
Port Marcside, WY 90254","2950 Snyder Union Suite 741
Lake Julie, MP 22779"
Luis Perez,https://picsum.photos/793/69,BSc in Information Technology,4,Principal Frontend Developer,Jones LLC,Web Development,"React, TypeScript, UI/UX Design, JavaScript, CSS",1.2,10,No description available,"Shaffer, Lee and Johnson",Aguilar-Johnson,"9116 Christopher Ports
Lake Charlesstad, MA 71671","4465 Lewis Plain Suite 748
North Sara, IL 80932"
Michael Dominguez,https://dummyimage.com/238x154,BSc in Computer Science,33,Senior Full Stack Developer,Mcdonald and Sons,Full Stack Development,"SQL, Angular, Full Stack Development, CSS, React",2.1,11,No description available,"Blackwell, Castillo and Vazquez","Howe, Gomez and Washington","55101 Matthew Common Suite 363
New Michael, AR 25250","82517 Laura Lodge Suite 485
East Joseph, GA 47146"
Cole Martinez MD,https://dummyimage.com/380x100,BSc in Business Administration,23,Product Manager,"Wilson, Randall and King",Market Analysis,"Agile, Project Management, Product Lifecycle Management, Scrum, User Experience",2.4,12,"Responsible for defining product vision, strategy, and roadmap to deliver value to customers and stakeholders.",Pollard PLC,Brooks Ltd,"Unit 1233 Box 7817
DPO AE 63734","72012 Cathy Mission Apt. 894
Ronaldchester, WI 15965"
Randy Mccarthy,https://dummyimage.com/985x789,MBA,29,Product Manager,Howell-Williams,User Experience,"Agile, Stakeholder Management, Scrum, Product Roadmap, Product Lifecycle Management",4.1,13,"Responsible for defining product vision, strategy, and roadmap to deliver value to customers and stakeholders.",Hamilton-Richards,Hodges Inc,"1936 Camacho Stravenue
Taraside, AK 29910","Unit 0617 Box 9778
DPO AP 70346"
Joy Francis,https://placekitten.com/200/922,BSc in Computer Science,18,Blockchain Developer,Mathews Inc,Decentralized Applications (DApps),"Blockchain Development, Ethereum, Cryptography, Bitcoin, Consensus Algorithms",4.7,14,"Experienced in developing and implementing blockchain solutions, including smart contracts and decentralized applications.","Jones, Myers and Conrad",Hickman-Duarte,"7994 Teresa Village
Port Jacob, PW 97410","385 Harris Port Apt. 660
East Laura, KY 84816"
