name,photo,qualification,work_experience,current_position,current_employer,field_of_expertise,skills,average_rating
Stephanie Brown,https://placekitten.com/162/276,BSc in Information Systems,8,Systems Analyst,Harper-Brown,Systems Analysis,"Database Management, Business Analysis, System Analysis, System Integration, Process Improvement",1.2
Matthew Foley,https://picsum.photos/511/13,PhD in Artificial Intelligence,35,Principal AI Researcher,"Smith, Bush and Roberts",Deep Learning,"TensorFlow, Machine Learning, PyTorch, Algorithm Development, Computer Vision",2.0
Arthur Thompson,https://picsum.photos/140/977,MSc in Cybersecurity,10,Principal Cybersecurity Specialist,Parker and Sons,Cybersecurity,"Incident Response, Security Information and Event Management (SIEM), Ethical Hacking, Penetration Testing, Network Security",2.2
Jordan Newton,https://dummyimage.com/200x1023,BSc in Information Systems,28,Principal Systems Analyst,"Ramirez, Hampton and Booker",System Integration,"Process Improvement, UML, System Analysis, System Integration, Requirements Gathering",2.2
Scott Miller,https://placekitten.com/148/796,MSc in Network Engineering,24,Principal Network Engineer,Pittman-Flynn,Network Security,"Firewall Configuration, Network Security, Cisco, TCP/IP, LAN/WAN",1.7
Kimberly Hernandez,https://picsum.photos/413/602,MSc in Cybersecurity,38,Senior Cybersecurity Analyst,Atkins Ltd,Threat Intelligence,"Vulnerability Assessment, Cryptography, Firewall Management, Penetration Testing, Incident Response",2.3
Russell Wood,https://placekitten.com/295/732,MSc in Computer Science,12,Principal Software Engineer,"Marquez, Gross and Krause",System Design,"Python, System Architecture, Agile Methodologies, C++, Java",2.0
Robin Obrien,https://placekitten.com/875/8,MSc in Information Technology,34,Senior DevOps Engineer,Collins PLC,DevOps,"Docker, Kubernetes, Terraform, Linux, Azure",4.7
Joe Brown,https://picsum.photos/900/281,BSc in Information Technology,37,Senior DevOps Engineer,Coleman Group,DevOps,"AWS, Kubernetes, Azure, Shell Scripting, Docker",3.3
Luis Perez,https://picsum.photos/793/69,BSc in Information Technology,4,Principal Frontend Developer,Jones LLC,Web Development,"React, TypeScript, UI/UX Design, JavaScript, CSS",1.2
Michael Dominguez,https://dummyimage.com/238x154,BSc in Computer Science,33,Senior Full Stack Developer,Mcdonald and Sons,Full Stack Development,"SQL, Angular, Full Stack Development, CSS, React",2.1
Cole Martinez MD,https://dummyimage.com/380x100,BSc in Business Administration,23,Product Manager,"Wilson, Randall and King",Market Analysis,"Agile, Project Management, Product Lifecycle Management, Scrum, User Experience",2.4
Randy Mccarthy,https://dummyimage.com/985x789,MBA,29,Product Manager,Howell-Williams,User Experience,"Agile, Stakeholder Management, Scrum, Product Roadmap, Product Lifecycle Management",4.1
